NAMESPACE            NAME                                               READY   STATUS                   RESTARTS        AGE
kube-system          pod/cilium-envoy-xgkrm                             1/1     Running                  0               40m
kube-system          pod/cilium-operator-7f6b4767fd-t5zhg               0/1     Pending                  0               40m
kube-system          pod/cilium-operator-7f6b4767fd-tp27c               1/1     Running                  0               40m
kube-system          pod/coredns-5b7c6bf567-hq2mj                       0/1     Terminating              0               54m
kube-system          pod/coredns-66bcb998f6-8v6gr                       0/1     ContainerCreating        0               10s
kube-system          pod/hostnet                                        0/1     Error                    0               34h
kube-system          pod/kube-apiserver-sage                            1/1     Running                  0               44m
kube-system          pod/kube-controller-manager-sage                   1/1     Running                  2 (46m ago)     44m
kube-system          pod/kube-flannel-n5974                             0/1     CrashLoopBackOff         70 (107s ago)   34h
kube-system          pod/kube-proxy-9zcl6                               1/1     Running                  19 (48m ago)    32h
kube-system          pod/kube-scheduler-sage                            1/1     Running                  3 (45m ago)     44m
local-path-storage   pod/local-path-provisioner-746ccdf664-4hkrq        0/1     Error                    1               75m
logs                 pod/promtail-vrp7c                                 0/1     Error                    3               34h
metallb-system       pod/metallb-speaker-lvjqr                          0/1     ContainerCreating        0               94s
observability        pod/node-exporter-prometheus-node-exporter-fbvw7   0/1     ContainerCreating        0               94s
observability        pod/ns-debug                                       0/1     Pending                  0               39h
observability        pod/promtail-tr4qz                                 0/1     Pending                  0               58m
sage                 pod/arc-registry-now-zj78b                         0/1     ContainerStatusUnknown   0               71m
sage                 pod/arc-registry-refresh-29335859-5hv7j            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335859-8pqt4            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335859-znm7q            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335860-5ssr7            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335860-dcnzw            1/1     Running                  0               44m
sage                 pod/arc-registry-refresh-29335860-tg45l            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335861-gz5zd            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335861-nm5nh            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335862-7bj9l            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335862-dxv2w            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335862-sbkgc            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335863-bvqf7            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335863-ffhlt            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335863-nzjvz            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335864-58fp2            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335864-6rw9c            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335864-82s8c            0/1     Error                    0               58m
