NAMESPACE            NAME                                                READY   STATUS                       RESTARTS           AGE     IP              NODE     NOMINATED NODE   READINESS GATES
arc-theta            theta-dns-health-29363400-96bzb                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363405-85hlc                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363410-gnpg9                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363415-hcvtb                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363420-dr496                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363425-pffrd                     0/1     ContainerCreating            0                  4h21m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29363430-xh7gp                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363435-qzzlf                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363440-zznb6                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363445-w2t4k                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363450-9j9r2                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363455-hp9dx                     0/1     Pending                      0                  4m35s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363460-thz49                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363465-nq2hx                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363470-fjq9n                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363475-6tl9q                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363480-6555k                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363485-sfq52                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363490-r652t                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363495-q2bfz                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363500-nprlg                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363505-sdqqf                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363510-rxfhr                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363515-xb799                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363520-d28kj                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363525-kkf5v                     0/1     ContainerCreating            0                  4h21m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29363530-sglqx                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363535-sfpbw                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363540-hd8tg                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363545-2mkdr                     0/1     Pending                      0                  4m19s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363550-dgp2q                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363555-rtgd4                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363560-5b7gs                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363565-lwch4                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363570-pmk8k                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363575-ltsjj                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363580-shw47                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363585-666zd                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363590-kcfhx                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363595-bzxj2                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363600-l2lfb                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363605-qbpkh                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363610-fzltg                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363615-gzrsh                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363620-j674x                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363625-chvxz                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363630-2vqzb                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363635-mfj8r                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363640-mxfdn                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363645-w5scf                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363650-jpqwx                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363655-jhhq6                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363660-czptf                     0/1     Pending                      0                  4m33s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363665-hdsp4                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363670-cplkj                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363675-9jw87                     0/1     Pending                      0                  4m21s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363680-tcl8q                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363685-vh79n                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363690-dncdg                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363695-ms8c5                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363700-lh626                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363705-7m9vv                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363710-ktfgn                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363715-npll7                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363720-pm7z6                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363725-kfrxn                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363730-8zg4q                     0/1     Pending                      0                  4m29s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363735-8kd8k                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363740-b7qm5                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363745-6bkwd                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363750-957j4                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363755-s52pd                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363760-xfpb6                     0/1     Pending                      0                  4m40s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363765-qtvr6                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363770-dmgxz                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363775-qq89p                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363780-jtdvq                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363785-6pwgt                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363790-zjj8q                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363795-vsl6p                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363800-n6b7c                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363805-nkxln                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363810-q9b24                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363815-qs9wc                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363820-mtpmz                     0/1     Pending                      0                  4m21s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363825-wrwqm                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363830-7mvdc                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363835-vlgmr                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363840-mj56k                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363845-7zhlz                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363850-w76ck                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363855-bslqt                     0/1     Pending                      0                  4m33s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363860-lhtdc                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363865-r8mtz                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363870-5crsp                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363875-gk2zb                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363880-hphxn                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363885-c6cmm                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363890-24gk5                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363895-p6mqd                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363900-9pvb5                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363905-q8lkw                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363910-fmdwj                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363915-f4n5k                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363920-nvwsm                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363925-jlpxq                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363930-pppfx                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363935-6f6ln                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363940-ftjtz                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363945-qnk89                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363950-qrz4w                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363955-8hbf8                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363960-qmqt7                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363965-96cg8                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363970-4z5dq                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363975-dcpvc                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363980-2kn86                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363985-r5r86                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363990-pnxg2                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363995-vfnhj                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364000-7fqhp                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364005-97nhr                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364010-mpmbs                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364015-8zkps                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364020-lw8mk                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364025-7c7jl                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364030-8xl6d                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364035-2qrc4                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364040-6mlmv                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364045-pbthh                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364050-cchbx                     0/1     Pending                      0                  4m35s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364055-zzr54                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364060-7fcpd                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364065-skpnf                     0/1     Pending                      0                  4m23s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364070-hwjzs                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364075-ct6wb                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364080-v7qqz                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364085-g2cqr                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364090-crxmz                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364095-tdqhs                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364100-5rnvx                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364105-rbzj9                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364110-qf8fg                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364115-98vx5                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364120-hkrrz                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364125-tcjfd                     0/1     Pending                      0                  4m27s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364130-r72xv                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364135-cp296                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364140-p9jds                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364145-rqs5n                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364150-c88gd                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364155-kmtd7                     0/1     Pending                      0                  4m35s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364160-jh84s                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364165-wjvkb                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364170-r96ft                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364175-t64ld                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364180-dvhxq                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364185-444xj                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364190-tnx7b                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364195-z5wr9                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364200-nt84n                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364205-dvq7d                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364210-khnxp                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364215-n7fj4                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364220-jnzpv                     0/1     Pending                      0                  4m25s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364225-98kbg                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364230-2r947                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364235-bkm5t                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364240-tsxv9                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364245-qhmz4                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364250-vxm5m                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364255-ns78m                     0/1     ContainerCreating            0                  4h21m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29364260-wgpwp                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364265-zjjr5                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364270-vlqnc                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364275-hdkj5                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364280-8v4vk                     0/1     Pending                      0                  4m32s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364285-b8qch                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364290-b9ldj                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364295-5vvrf                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364300-h8k5w                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364305-vqm24                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364310-xkgss                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364315-9ztdg                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364320-597mr                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364325-6gxzb                     0/1     Pending                      0                  4m21s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364330-hfh2f                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364335-n24c4                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364340-2hmqd                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364345-5m9gw                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364350-2jjq9                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364355-qlmg8                     0/1     ContainerCreating            0                  4h21m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29364360-scvrs                     0/1     Pending                      0                  4m32s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364365-5qqv9                     0/1     Pending                      0                  4m40s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364370-mcjdz                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364375-x57xc                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364380-d6qwf                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364385-ws4pl                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364390-6s78x                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364395-qh566                     0/1     Pending                      0                  4m25s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364400-n9l6h                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364405-8dmhw                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364410-67tl4                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364415-4phf5                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364420-2lth8                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364425-nxzgs                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364430-zzfhd                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364435-fkxkv                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364440-vcbp4                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364445-rlghx                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364450-9d7lk                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364455-5jqng                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364460-b94dp                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364465-vr8x6                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364470-pm9v8                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364475-ppmdw                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364480-4jp7t                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364485-php64                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364490-75w4z                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364495-vwbxb                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364500-7j5d9                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364505-lh5m9                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364510-sd65f                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364515-thd75                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364520-s4dbh                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364525-2744r                     0/1     Pending                      0                  4m28s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364530-tjgg9                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364535-82md8                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364540-t7s4s                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364545-swsn2                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364550-9nw8j                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364555-wwjjt                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364560-xln6f                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364565-m46cb                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364570-2b986                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364575-wkxfx                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364580-256qj                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364585-xvpxt                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364590-4vft5                     0/1     Pending                      0                  4m15s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364595-j95vl                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364600-vvrw2                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29364605-4rwxn                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
