NAMESPACE            NAME                                                READY   STATUS                       RESTARTS           AGE     IP              NODE     NOMINATED NODE   READINESS GATES
arc-theta            theta-dns-health-29362250-7htrf                     0/1     ContainerCreating            0                  4h21m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29362255-d2d2v                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362260-5vgqm                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362265-z5znx                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362270-wr5wx                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362275-p4qmt                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362280-nph7s                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362285-7p9p4                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362290-bsw4h                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362295-28v67                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362300-khg2k                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362305-fpwc6                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362310-t5gtk                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362315-92fd9                     0/1     ContainerCreating            0                  4h20m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29362320-lv64m                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362325-gmw4p                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362330-95d8m                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362335-65gbx                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362340-g67dx                     0/1     Pending                      0                  4m25s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362345-njwq5                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362350-kzb2x                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362355-6nghb                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362360-s7tmb                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362365-s62kv                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362370-t2bjk                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362375-whcwl                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362380-gqkfz                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362385-hshzx                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362390-h9czj                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362395-xr6tn                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362400-rbbsb                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362405-pvhgj                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362410-g2wgx                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362415-77q96                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362420-wmvz6                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362425-qsfm9                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362430-6dk9k                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362435-hqz9k                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362440-cwbc6                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362445-2mtgs                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362450-mt56l                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362455-zj4xx                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362460-9psnb                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362465-598ld                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362470-j6sjh                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362475-zd5sf                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362480-kbf79                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362485-l4jm9                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
